Value 1,Value 2,Value 3
Essential,Hard work,36
Essential,Ambition,29
Essential,A good education,24
Essential,Good contacts,13
Essential,Wealthy family,7
Essential,Well-educated parents,4
Essential,Political connections,5
Essential,Race,3
Essential,Gender,2
Essential,Religion,1
Very important,Hard work,40
Very important,Ambition,40
Very important,A good education,43
Very important,Good contacts,31
Very important,Wealthy family,22
Very important,Well-educated parents,23
Very important,Political connections,14
Very important,Race,12
Very important,Gender,12
Very important,Religion,3
Fairly important,Hard work,18
Fairly important,Ambition,24
Fairly important,A good education,27
Fairly important,Good contacts,38
Fairly important,Wealthy family,29
Fairly important,Well-educated parents,42
Fairly important,Political connections,22
Fairly important,Race,23
Fairly important,Gender,24
Fairly important,Religion,10
Not very important,Hard work,3
Not very important,Ambition,3
Not very important,A good education,3
Not very important,Good contacts,10
Not very important,Wealthy family,26
Not very important,Well-educated parents,20
Not very important,Political connections,29
Not very important,Race,28
Not very important,Gender,33
Not very important,Religion,35
Not important at all,Hard work,1
Not important at all,Ambition,1
Not important at all,A good education,1
Not important at all,Good contacts,4
Not important at all,Wealthy family,11
Not important at all,Well-educated parents,5
Not important at all,Political connections,18
Not important at all,Race,27
Not important at all,Gender,24
Not important at all,Religion,43